Date,OfferName,ReferralDomain,CountryName,PageVisits,GetItNow,ContactMe,TestDrive,FreeTrial
2025-04-29,constellation,appsource.microsoft.com,United States,4,0,0,0,0
2025-06-05,constellation,app.powerbi.com,Australia,1,0,0,0,0
2025-05-13,constellation,app.powerbi.com,New Zealand,2,1,0,0,0
2025-04-29,constellation,appsource.microsoft.com,United Arab Emirates,2,0,0,0,0
2025-05-12,constellation,app.powerbi.com,New Zealand,4,4,0,0,0
2025-05-30,constellation,ms-pbi.pbi.microsoft.com,Ghana,2,1,0,0,0
2025-06-03,constellation,ms-pbi.pbi.microsoft.com,Peru,1,1,0,0,0
2025-04-29,constellation,appsource.microsoft.com,Thailand,2,0,0,0,0
2025-05-20,constellation,ms-pbi.pbi.microsoft.com,Taiwan,1,1,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Angola,1,1,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Russia,1,0,0,0,0
2025-05-05,constellation,appsource.microsoft.com,Colombia,1,0,0,0,0
2025-05-14,constellation,ms-pbi.pbi.microsoft.com,Australia,2,0,0,0,0
2025-05-09,constellation,appsource.microsoft.com,Sweden,1,0,0,0,0
2025-05-17,constellation,ms-pbi.pbi.microsoft.com,India,1,1,0,0,0
2025-06-01,constellation,ms-pbi.pbi.microsoft.com,South Africa,1,0,0,0,0
2025-06-04,constellation,app.powerbi.com,United States,1,1,0,0,0
2025-05-28,constellation,ms-pbi.pbi.microsoft.com,Ecuador,1,0,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,United States,5,4,0,0,0
2025-05-28,constellation,www.google.com,Singapore,1,0,0,0,0
2025-06-06,constellation,ms-pbi.pbi.microsoft.com,Taiwan,1,0,0,0,0
2025-06-05,constellation,ms-pbi.pbi.microsoft.com,Singapore,2,1,0,0,0
2025-05-23,constellation,Referral domain not present,Singapore,1,0,0,0,0
2025-05-12,constellation,ms-pbi.pbi.microsoft.com,India,1,1,0,0,0
2025-05-24,constellation,ms-pbi.pbi.microsoft.com,Russia,2,1,0,0,0
2025-05-21,constellation,ms-pbi.pbi.microsoft.com,Chile,1,0,0,0,0
2025-05-13,constellation,ms-pbi.pbi.microsoft.com,Singapore,1,0,0,0,0
2025-04-29,constellation,engage.cloud.microsoft,United States,4,0,0,0,0
2025-06-04,constellation,ms-pbi.pbi.microsoft.com,Argentina,4,2,0,0,0
